site;plot;treatment;transect;subplot;position_m;species;height_cm;girth_cm;diameter_cm;notes
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;>130;9;2,864791395;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;>130;14;4,456342171;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;>130;11;3,501411706;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;33;;;
Rya åsar;NO;thinned;NO80;1;7;Sorbus aucuparia;50;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;16;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;7;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;10;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;25;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;30;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;33;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;30;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;37;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;20;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;29;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;52;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;18;;;
Rya åsar;NO;thinned;NO80;1;7;Frangula alnus;10;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;149;1;0,318310155;over half of the plot on boar marks
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;26;;;
Rya åsar;NO;thinned;NO80;2;31;Unknown sp.;50;;;hard browsed, see inaturalist sp1
Rya åsar;NO;thinned;NO80;2;31;Corylus avellana;25;;;
Rya åsar;NO;thinned;NO80;2;31;Corylus avellana;133;0,5;0,159155078;
Rya åsar;NO;thinned;NO80;2;31;Corylus avellana;280;3;0,954930465;approximate height
Rya åsar;NO;thinned;NO80;2;31;Corylus avellana;126;;;
Rya åsar;NO;thinned;NO80;2;31;Corylus avellana;>130;5;1,591550775;
Rya åsar;NO;thinned;NO80;2;31;Corylus avellana;>130;6;1,90986093;
Rya åsar;NO;thinned;NO80;2;31;Corylus avellana;187;2;0,63662031;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;185;1;0,318310155;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;167;1;0,318310155;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;129;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;201;1;0,318310155;
Rya åsar;NO;thinned;NO80;2;31;Sorbus aucuparia;35;;;
Rya åsar;NO;thinned;NO80;2;31;Sorbus aucuparia;62;;;
Rya åsar;NO;thinned;NO80;2;31;Sorbus aucuparia;119;;;
Rya åsar;NO;thinned;NO80;2;31;Sorbus aucuparia;47;;;
Rya åsar;NO;thinned;NO80;2;31;Sorbus aucuparia;48;;;
Rya åsar;NO;thinned;NO80;2;31;Sorbus aucuparia;129;;;
Rya åsar;NO;thinned;NO80;2;31;Quercus sp.;26;;;
Rya åsar;NO;thinned;NO80;2;31;Quercus sp.;22;;;
Rya åsar;NO;thinned;NO80;2;31;Sorbus aucuparia;101;;;
Rya åsar;NO;thinned;NO80;2;31;Sorbus aucuparia;68;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;90;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;63;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;23;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;54;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;80;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;80;;;
Rya åsar;NO;thinned;NO80;2;31;Sorbus aucuparia;8;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;196;2;0,63662031;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;128;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;164;1;0,318310155;other half of the plot mossy stones
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;66;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;69;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;23;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;14;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;11;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;68;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;61;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;140;0,5;0,159155078;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;206;2;0,63662031;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;106;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;86;;;
Rya åsar;NO;thinned;NO80;2;31;Frangula alnus;81;;;
Rya åsar;NO;thinned;NO80;2;31;Picea abies;56;;;
Rya åsar;NO;thinned;NO80;2;31;Sorbus aucuparia;62;;;
Rya åsar;NO;thinned;NO80;2;31;Sorbus aucuparia;5;;;
Rya åsar;NO;thinned;NO80;3;43;Quercus sp.;9;;;mostly litter
Rya åsar;NO;thinned;NO80;3;43;Quercus sp.;11;;;
Rya åsar;NO;thinned;NO80;3;43;Frangula alnus;169;1;0,318310155;
Rya åsar;NO;thinned;NO80;3;43;Frangula alnus;85;;;
Rya åsar;NO;thinned;NO80;3;43;Frangula alnus;22;;;
