site;plot;treatment;transect;subplot;tray_weight_g;wet_weight_tray_g;wet_weight_g;dry_weight_tray_22h_g;dry_weight_tray_46h_g;mass_change_22_46_g;dry_weight_tray_70h_g;mass_change_46_70_g;dry_weight_tray_96h_g;mass_change_70_96_g;dry_weight_tray_168h_g;mass_change_96_168_g;10g_measurement;pH;Comments_or_dup;dup_pH
Karla;NV;control;NV25;2;4,7373;110,1316;105,3943;;78,0622;;78,0044;0,0578;;;;;10,0026;4,32;;
Karla;NV;control;NV25;3;4,6958;79,7878;75,092;;48,6626;;48,6256;0,037;;;;;10,0069;4,1;;
Karla;NV;control;NV25;4;4,7225;66,4594;61,7369;36,9196;34,3225;2,5971;34,2612;0,0613;;;;;10,0013;4,1;;
Karla;NV;control;NV45;1;4,6945;99,7544;95,0599;;71,1612;;71,1004;0,0608;;;;;10,0056;4,23;;
Karla;NV;control;NV45;2;4,8111;124,3825;119,5714;;80,238;;80,1306;0,1074;;;;;10,008;4,82;;
Östadkulle;Ö;thinned;Ö89;4;4,8567;124,0545;119,1978;;97,6824;;97,6078;0,0746;;;;;10,0019;4,66;;
Karla;NV;control;NV45;4;4,6572;105,4234;100,7662;71,7344;68,178;3,5564;68,1042;0,0738;;;;;10,001;4,39;;
Östadkulle;Ö;thinned;Ö89;1;4,8884;163,7085;158,8201;;117,8896;;117,7724;0,1172;;;;;10,0057;4,58;;
Östadkulle;Ö;thinned;Ö89;2;4,803;106,3604;101,5574;;63,753;;63,6022;0,1508;;;;;10,0025;5,37;10,0061;5,46
Östadkulle;V;control;V75;4;4,8725;128,5525;123,68;;88,354;;88,255;0,099;;;;;10,0007;4,29;;
Skölvene;Ö;thinned;Ö35;1;4,6925;164,324;159,6315;;90,05;;89,914;0,136;;;;;10,0017;4,2;;
Skölvene;Ö;thinned;Ö35;2;4,6876;157,975;153,2874;;73,9794;;73,5794;0,4;73,5424;;73,3876;0,1918;10,001;4,59;;
Skölvene;Ö;thinned;Ö35;3;4,6743;114,6166;109,9423;;52,0166;;51,7986;0,218;51,7629;;51,6318;0,1668;10,0089;4,6;;
Skölvene;Ö;thinned;Ö35;4;4,7014;111,1026;106,4012;;71,844;;71,715;0,129;;;;;10,0048;4,1;;
Skölvene;Ö;thinned;Ö55;1;4,6837;113,1306;108,4469;;78,8152;;78,7338;0,0814;;;;;10,005;4,51;;
Skölvene;Ö;thinned;Ö55;2;4,6655;115,435;110,7695;;61,2966;;60,1626;1,134;60,109;;59,9693;0,1933;10,0008;4,52;;
Skölvene;Ö;thinned;Ö55;3;4,694;132,685;127,991;;65,047;;64,6672;0,3798;64,6206;;64,5014;0,1658;10,005;4,18;;
Skölvene;Ö;thinned;Ö55;4;4,6869;137,8645;133,1776;;90,8958;;90,6674;0,2284;90,6294;;90,4902;0,1772;10,008;4,29;;
Skölvene;V;control;V35;1;4,6376;128,4195;123,7819;;89,8068;;89,6966;0,1102;;;;;10,0037;4,53;;
Skölvene;V;control;V35;2;4,6462;133,7695;129,1233;;104,3492;;104,2356;0,1136;;;;;10,0021;4,68;10,0036;4,69
Skölvene;V;control;V35;3;4,6636;129,4585;124,7949;;87,6288;;87,5302;0,0986;;;;;10,0016;4,82;;
Skölvene;V;control;V35;4;4,6546;128,924;124,2694;;61,3256;;61,1752;0,1504;;;;;10,0033;5,28;;
Skölvene;V;control;V55;1;4,687;144,716;140,029;;109,559;;109,4346;0,1244;;;;;10,0064;4,82;;
Skölvene;V;control;V55;2;4,6871;130,8155;126,1284;;39,7403;;39,6203;0,12;;;;;10,0035;4,13;OBS 1:5;
Skölvene;V;control;V55;3;4,7222;93,3834;88,6612;;25,1885;;25,115;0,0735;;;;;10,0002;3,68;;
Skölvene;V;control;V55;4;4,6925;111,526;106,8335;;42,3851;;42,2816;0,1035;;;;;10,0029;4,19;;
Karla;SO;thinned;SO35;2;4,6908;104,688;99,9972;;82,8592;;82,7546;0,1046;;;;;10,0051;4,52;;
Östadkulle;V;control;V95;1;4,6959;150,4715;145,7756;;117,1768;;117,0412;0,1356;;;;;10,0057;4,82;;
Östadkulle;V;control;V95;2;4,6941;95,5056;90,8115;;64,1874;;64,1176;0,0698;;;;;10,0046;4,74;;
Östadkulle;V;control;V95;4;4,6971;133,596;128,8989;;97,8246;;97,694;0,1306;;;;;10,0052;4,53;10,0063;4,55
Östadkulle;Ö;thinned;Ö75;1;4,7011;134,4045;129,7034;;77,577;;77,4716;0,1054;;;;;10,004;5,49;;
Östadkulle;V;control;V95;3;4,6808;155,095;150,4142;;109,9324;;109,7646;0,1678;;;;;10;5,05;;
Östadkulle;V;control;V75;1;4,6788;141,4065;136,7277;;100,9298;;100,815;0,1148;;;;;10,0034;4,73;;
Östadkulle;V;control;V75;2;4,7702;125,475;120,7048;;79,8522;;79,7072;0,145;;;;;10,0025;4,65;;
Östadkulle;V;control;V75;3;4,8032;99,6092;94,806;;51,0464;;50,9399;0,1065;;;;;10,0042;3,85;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
