Site;Plot;Treatment;Species;Girth (cm);Diameter (cm);Notes
Karla;SO48-60;thinned;Quercus sp.;61;19,41691946;
Karla;SO48-60;thinned;Quercus sp.;67;21,32678039;
Karla;SO48-60;thinned;Sorbus aucuparia;22;7,002823411;
Karla;SO48-60;thinned;Sorbus aucuparia;35;11,14085543;
Karla;SO48-60;thinned;Sorbus aucuparia;30;9,549304651;
Karla;SO48-60;thinned;Quercus sp.;71;22,60002101;
Karla;SO48-60;thinned;Sorbus aucuparia;28;8,912684341;
Karla;SO48-60;thinned;Sorbus aucuparia;16;5,092962481;
Karla;SO48-60;thinned;Quercus sp.;35;11,14085543;
Karla;SO48-60;thinned;Sorbus aucuparia;28;8,912684341;
Karla;SO48-60;thinned;Acer platanoides;26;8,276064031;
Karla;SO48-60;thinned;Populus tremula;157;49,97469434;det är en asp (se 20251114_123559)
Karla;SO48-60;thinned;Sorbus aucuparia;17;5,411272636;
Karla;SO48-60;thinned;Sorbus aucuparia;17;5,411272636;
Karla;SO48-60;thinned;Quercus sp.;113;35,96904752;
Karla;SO48-60;thinned;Sorbus aucuparia;27;8,594374186;
Karla;SO48-60;thinned;Sorbus aucuparia;25;7,957753876;
Karla;SO48-60;thinned;Sorbus aucuparia;24;7,639443721;
Karla;SO48-60;thinned;Quercus sp.;48;15,27888744;
Karla;SO48-60;thinned;Sorbus aucuparia;24;7,639443721;
Karla;SO48-60;thinned;Sorbus aucuparia;27;8,594374186;
Karla;SO48-60;thinned;Quercus sp.;26;8,276064031;
Karla;SO48-60;thinned;Quercus sp.;44;14,00564682;
Karla;SO48-60;thinned;Populus tremula;70;22,28171085;
Karla;SO48-60;thinned;Populus tremula;190;60,47892946;
Karla;SO48-60;thinned;Quercus sp.;26;8,276064031;
Karla;SO48-60;thinned;Populus tremula;171;54,43103651;
Karla;SO48-60;thinned;Betula sp.;131;41,69863031;
Karla;SO48-60;thinned;Sorbus aucuparia;39;12,41409605;
Karla;SO48-60;thinned;Populus tremula;134;42,65356078;
Karla;SO48-60;thinned;Quercus sp.;22;7,002823411;
Karla;SO48-60;thinned;Betula sp.;134;42,65356078;
Karla;SO48-60;thinned;Populus tremula;187;59,52399899;
Karla;SO48-60;thinned;Salix sp.;20;6,366203101;in exclosure, a bit unsure about species
Karla;SO48-60;thinned;Betula sp.;16;5,092962481;in exclosure
Karla;SO48-60;thinned;Acer platanoides;20;6,366203101;in exclosure
Karla;SO48-60;thinned;Salix sp.;22;7,002823411;in exclosure, a bit unsure about species
Karla;SO48-60;thinned;Salix sp.;23;7,321133566;in exclosure, a bit unsure about species
Karla;SO48-60;thinned;Sorbus aucuparia;16;5,092962481;in exclosure
Karla;SO48-60;thinned;Sorbus aucuparia;23;7,321133566;in exclosure
Karla;SO48-60;thinned;Sorbus aucuparia;16;5,092962481;in exclosure
Karla;SO48-60;thinned;Sorbus aucuparia;18;5,729582791;in exclosure
Karla;SO48-60;thinned;Sorbus aucuparia;21;6,684513256;in exclosure
Karla;SO48-60;thinned;Sorbus aucuparia;20;6,366203101;in exclosure
Karla;SO48-60;thinned;Sorbus aucuparia;17;5,411272636;in exclosure
Karla;SO48-60;thinned;Sorbus aucuparia;17;5,411272636;in exclosure
Karla;NV38-50;control;Quercus sp.;99;31,51270535;
Karla;NV38-50;control;Quercus sp.;47;14,96057729;
Karla;NV38-50;control;Betula sp.;20;6,366203101;
Karla;NV38-50;control;Betula sp.;24;7,639443721;
Karla;NV38-50;control;Quercus sp.;150;47,74652326;
Karla;NV38-50;control;Betula sp.;31;9,867614807;
Karla;NV38-50;control;Quercus sp.;143;45,51835217;
Karla;NV38-50;control;Betula sp.;34;10,82254527;
Karla;NV38-50;control;Quercus sp.;161;51,24793496;
Karla;NV38-50;control;Quercus sp.;186;59,20568884;
Karla;NV38-50;control;Quercus sp.;48;15,27888744;
Karla;NV38-50;control;Sorbus aucuparia;23;7,321133566;
Karla;NV38-50;control;Betula sp.;23;7,321133566;
Karla;NV38-50;control;Quercus sp.;159;50,61131465;
Karla;NV38-50;control;Quercus sp.;44;14,00564682;
Karla;NV38-50;control;Betula sp.;32;10,18592496;
Karla;NV38-50;control;Betula sp.;34;10,82254527;missing crown
Karla;NV38-50;control;Quercus sp.;25;7,957753876;
Karla;NV38-50;control;Frangula alnus;17;5,411272636;
Karla;NV38-50;control;Quercus sp.;50;15,91550775;
Karla;NV38-50;control;Quercus sp.;41;13,05071636;
Karla;NV38-50;control;Quercus sp.;60;19,0986093;
Karla;NV38-50;control;Quercus sp.;48;15,27888744;
Karla;NV38-50;control;Quercus sp.;40;12,7324062;
Karla;NV38-50;control;Quercus sp.;72;22,91833116;
Karla;NV38-50;control;Quercus sp.;58;18,46198899;
Karla;NV38-50;control;Sorbus aucuparia;36;11,45916558;
Karla;NV38-50;control;Quercus sp.;160;50,92962481;
Karla;NV38-50;control;Quercus sp.;48;15,27888744;
Karla;NV38-50;control;Quercus sp.;125;39,78876938;
Karla;NV38-50;control;Sorbus aucuparia;56;17,82536868;
Karla;NV38-50;control;Sorbus aucuparia;24;7,639443721;
