Site;Plot;Treatment;Species;Girth (cm);Diameter (cm);Notes
Skölvene;V50-60;control;Alnus glutinosa;92;29,28453426;
Skölvene;V50-60;control;Sorbus aucuparia;36;11,45916558;
Skölvene;V50-60;control;Corylus avellana;30;9,549304651;
Skölvene;V50-60;control;Corylus avellana;23;7,321133566;
Skölvene;V50-60;control;Corylus avellana;20;6,366203101;
Skölvene;V50-60;control;Corylus avellana;16;5,092962481;
Skölvene;V50-60;control;Corylus avellana;22;7,002823411;
Skölvene;V50-60;control;Corylus avellana;26;8,276064031;
Skölvene;V50-60;control;Corylus avellana;23;7,321133566;
Skölvene;V50-60;control;Corylus avellana;16;5,092962481;
Skölvene;V50-60;control;Quercus sp.;160;50,92962481;
Skölvene;V50-60;control;Quercus sp.;184;58,56906853;
Skölvene;V50-60;control;Corylus avellana;22;7,002823411;
Skölvene;V50-60;control;Corylus avellana;20;6,366203101;
Skölvene;V50-60;control;Corylus avellana;16;5,092962481;
Skölvene;V50-60;control;Corylus avellana;28;8,912684341;
Skölvene;V50-60;control;Corylus avellana;22;7,002823411;
Skölvene;V50-60;control;Corylus avellana;27;8,594374186;
Skölvene;V50-60;control;Quercus sp.;196;62,38879039;
Skölvene;V50-60;control;Corylus avellana;17;5,411272636;
Skölvene;V50-60;control;Corylus avellana;25;7,957753876;
Skölvene;V50-60;control;Corylus avellana;18;5,729582791;
Skölvene;V50-60;control;Quercus sp.;158;50,2930045;
Skölvene;V50-60;control;Alnus glutinosa;87;27,69298349;
Skölvene;V50-60;control;Alnus glutinosa;18;5,729582791;
Skölvene;V50-60;control;Alnus glutinosa;31;9,867614807;
Skölvene;V50-60;control;Alnus glutinosa;116;36,92397799;
Skölvene;V50-60;control;Alnus glutinosa;156;49,65638419;
Skölvene;V50-60;control;Corylus avellana;22;7,002823411;
Skölvene;V50-60;control;Corylus avellana;21;6,684513256;
Skölvene;V50-60;control;Corylus avellana;20;6,366203101;
Skölvene;V50-60;control;Corylus avellana;23;7,321133566;
Skölvene;V50-60;control;Picea abies;28;8,912684341;
Skölvene;V50-60;control;Corylus avellana;17;5,411272636;
Skölvene;V50-60;control;Corylus avellana;20;6,366203101;
Skölvene;V50-60;control;Corylus avellana;21;6,684513256;
Skölvene;V50-60;control;Corylus avellana;18;5,729582791;
Skölvene;V50-60;control;Corylus avellana;17;5,411272636;
Skölvene;V50-60;control;Corylus avellana;17;5,411272636;
Skölvene;V50-60;control;Corylus avellana;19;6,047892946;
Skölvene;V50-60;control;Corylus avellana;16;5,092962481;
Skölvene;V50-60;control;Alnus glutinosa;48;15,27888744;
Skölvene;V50-60;control;Betula sp.;50;15,91550775;
Skölvene;V50-60;control;Betula sp.;78;24,82819209;
Skölvene;V50-60;control;Corylus avellana;16;5,092962481;
Skölvene;V50-60;control;Corylus avellana;18;5,729582791;
Skölvene;V50-60;control;Corylus avellana;22;7,002823411;
Skölvene;V50-60;control;Corylus avellana;22;7,002823411;
Skölvene;V50-60;control;Corylus avellana;17;5,411272636;
Skölvene;V50-60;control;Corylus avellana;19;6,047892946;
Skölvene;V50-60;control;Corylus avellana;19;6,047892946;
Skölvene;V50-60;control;Corylus avellana;20;6,366203101;
Skölvene;V50-60;control;Corylus avellana;21;6,684513256;
Skölvene;V50-60;control;Corylus avellana;18;5,729582791;
Skölvene;V50-60;control;Betula sp.;21;6,684513256;
Skölvene;V50-60;control;Betula sp.;23;7,321133566;
Sandviksås;Ö40-50;thinned;Quercus sp.;89;28,3296038;
Sandviksås;Ö40-50;thinned;Pinus sylvestris;160;50,92962481;
Sandviksås;Ö40-50;thinned;Quercus sp.;46;14,64226713;
Sandviksås;Ö40-50;thinned;Quercus sp.;115;36,60566783;
Sandviksås;Ö40-50;thinned;Quercus sp.;138;43,9268014;
Sandviksås;Ö40-50;thinned;Picea abies;21;6,684513256;
Sandviksås;Ö40-50;thinned;Picea abies;19;6,047892946;
Sandviksås;Ö40-50;thinned;Picea abies;20;6,366203101;
Sandviksås;Ö40-50;thinned;Picea abies;17;5,411272636;
Sandviksås;Ö40-50;thinned;Quercus sp.;86;27,37467333;
Sandviksås;Ö40-50;thinned;Quercus sp.;31;9,867614807;
Sandviksås;Ö40-50;thinned;Sorbus aucuparia;82;26,10143271;
Sandviksås;Ö40-50;thinned;Quercus sp.;181;57,61413806;
Sandviksås;Ö40-50;thinned;Picea abies;184;58,56906853;
Sandviksås;Ö40-50;thinned;Alnus glutinosa;119;37,87890845;
Sandviksås;Ö40-50;thinned;Picea abies;18;5,729582791;
Sandviksås;Ö40-50;thinned;Populus tremula;54;17,18874837;
Sandviksås;Ö40-50;thinned;Picea abies;25;7,957753876;
Sandviksås;Ö40-50;thinned;Populus tremula;58;18,46198899;
Sandviksås;Ö40-50;thinned;Picea abies;21;6,684513256;
Sandviksås;Ö40-50;thinned;Picea abies;16;5,092962481;
Sandviksås;Ö40-50;thinned;Picea abies;17;5,411272636;
Sandviksås;Ö40-50;thinned;Populus tremula;119;37,87890845;
Sandviksås;Ö40-50;thinned;Picea abies;25;7,957753876;
Sandviksås;Ö40-50;thinned;Picea abies;16;5,092962481;
Sandviksås;Ö40-50;thinned;Picea abies;27;8,594374186;
Sandviksås;Ö40-50;thinned;Picea abies;24;7,639443721;
Sandviksås;Ö40-50;thinned;Picea abies;18;5,729582791;
Sandviksås;Ö40-50;thinned;Populus tremula;174;55,38596698;
Sandviksås;Ö40-50;thinned;Picea abies;17;5,411272636;
Sandviksås;Ö40-50;thinned;Sorbus aucuparia;44;14,00564682;
Sandviksås;Ö40-50;thinned;Quercus sp.;108;34,37749675;
Sandviksås;Ö40-50;thinned;Picea abies;26;8,276064031;
Sandviksås;Ö40-50;thinned;Quercus sp.;146;46,47328264;
Sandviksås;Ö40-50;thinned;Picea abies;39;12,41409605;
Sandviksås;Ö40-50;thinned;Picea abies;25;7,957753876;
Sandviksås;Ö40-50;thinned;Populus tremula;89;28,3296038;
Sandviksås;Ö40-50;thinned;Picea abies;26;8,276064031;
Sandviksås;Ö40-50;thinned;Picea abies;24;7,639443721;
Sandviksås;Ö40-50;thinned;Picea abies;19;6,047892946;
Sandviksås;Ö40-50;thinned;Quercus sp.;26;8,276064031;
Sandviksås;Ö40-50;thinned;Populus tremula;96;30,55777488;
Sandviksås;Ö40-50;thinned;Populus tremula;67;21,32678039;
Sandviksås;Ö40-50;thinned;Picea abies;22;7,002823411;
Sandviksås;Ö40-50;thinned;Picea abies;18;5,729582791;
Sandviksås;V50-60;control;Picea abies;26;8,276064031;
Sandviksås;V50-60;control;Betula sp.;98;31,19439519;
Sandviksås;V50-60;control;Betula sp.;47;14,96057729;
Sandviksås;V50-60;control;Betula sp.;40;12,7324062;
Sandviksås;V50-60;control;Betula sp.;77;24,50988194;
Sandviksås;V50-60;control;Betula sp.;67;21,32678039;
Sandviksås;V50-60;control;Betula sp.;26;8,276064031;half dead
Sandviksås;V50-60;control;Picea abies;29;9,230994496;
Sandviksås;V50-60;control;Sorbus aucuparia;23;7,321133566;
Sandviksås;V50-60;control;Betula sp.;105;33,42256628;
Sandviksås;V50-60;control;Betula sp.;100;31,8310155;
Sandviksås;V50-60;control;Picea abies;103;32,78594597;
Sandviksås;V50-60;control;Betula sp.;61;19,41691946;
Sandviksås;V50-60;control;Picea abies;25;7,957753876;
Sandviksås;V50-60;control;Picea abies;155;49,33807403;
Sandviksås;V50-60;control;Picea abies;22;7,002823411;
Sandviksås;V50-60;control;Sorbus aucuparia;25;7,957753876;half dead
Sandviksås;V50-60;control;Betula sp.;120;38,19721861;
Sandviksås;V50-60;control;Quercus sp.;128;40,74369985;
Sandviksås;V50-60;control;Quercus sp.;132;42,01694047;
Sandviksås;V50-60;control;Picea abies;91;28,96622411;
Sandviksås;V50-60;control;Picea abies;133;42,33525062;
Sandviksås;V50-60;control;Picea abies;137;43,60849124;
Sandviksås;V50-60;control;Sorbus aucuparia;50;15,91550775;
Sandviksås;V50-60;control;Quercus sp.;228;72,57471535;2 trunks together, 1 of them Hollow but still alive
Sandviksås;V50-60;control;Quercus sp.;179;56,97751775;
Sandviksås;V50-60;control;Sorbus aucuparia;42;13,36902651;
Sandviksås;V50-60;control;Sorbus aucuparia;51;16,23381791;
Sandviksås;V50-60;control;Acer platanoides;42;13,36902651;
Sandviksås;V50-60;control;Acer platanoides;23;7,321133566;
Sandviksås;V50-60;control;Acer platanoides;36;11,45916558;
Sandviksås;V50-60;control;Picea abies;42;13,36902651;
Sandviksås;V50-60;control;Picea abies;27;8,594374186;
Sandviksås;V50-60;control;Picea abies;38;12,09578589;
Sandviksås;V50-60;control;Picea abies;17;5,411272636;
Sandviksås;V50-60;control;Picea abies;146;46,47328264;
Sandviksås;V50-60;control;Picea abies;70;22,28171085;
Sandviksås;V50-60;control;Picea abies;132;42,01694047;
Sandviksås;V50-60;control;Picea abies;66;21,00847023;
Sandviksås;V50-60;control;Sorbus aucuparia;35;11,14085543;
Sandviksås;V50-60;control;Quercus sp.;199;63,34372085;
Sandviksås;V50-60;control;Picea abies;36;11,45916558;
Sandviksås;V50-60;control;Picea abies;128;40,74369985;
Sandviksås;V50-60;control;Picea abies;156;49,65638419;
Sandviksås;V50-60;control;Picea abies;35;11,14085543;
Sandviksås;V50-60;control;Picea abies;114;36,28735768;
Sandviksås;V50-60;control;Picea abies;117;37,24228814;
Sandviksås;V50-60;control;Picea abies;155;49,33807403;
Sandviksås;V50-60;control;Picea abies;28;8,912684341;
Sandviksås;V50-60;control;Quercus sp.;187;59,52399899;
Sandviksås;V50-60;control;Picea abies;17;5,411272636;
Sandviksås;V50-60;control;Sorbus aucuparia;18;5,729582791;
Sandviksås;V50-60;control;Picea abies;72;22,91833116;
Sandviksås;V50-60;control;Picea abies;92;29,28453426;
Sandviksås;V50-60;control;Picea abies;47;14,96057729;
Sandviksås;V50-60;control;Quercus sp.;121;38,51552876;
Sandviksås;V50-60;control;Quercus sp.;98;31,19439519;
Sandviksås;V50-60;control;Sorbus aucuparia;24;7,639443721;
Sandviksås;V50-60;control;Picea abies;37;11,77747574;
Sandviksås;V50-60;control;Picea abies;42;13,36902651;
Sandviksås;V50-60;control;Quercus sp.;156;49,65638419;
Sandviksås;V50-60;control;Picea abies;68;21,64509054;
Sandviksås;V50-60;control;Picea abies;70;22,28171085;
Sandviksås;V50-60;control;Picea abies;117;37,24228814;
Sandviksås;V50-60;control;Picea abies;97;30,87608504;
Sandviksås;V50-60;control;Quercus sp.;110;35,01411706;
Sandviksås;V50-60;control;Picea abies;58;18,46198899;
Sandviksås;V50-60;control;Picea abies;36;11,45916558;
Sandviksås;V50-60;control;Picea abies;122;38,83383892;
Sandviksås;V50-60;control;Picea abies;84;26,73805302;
Sandviksås;V50-60;control;Quercus sp.;72;22,91833116;
Sandviksås;V50-60;control;Quercus sp.;134;42,65356078;
Sandviksås;V50-60;control;Picea abies;18;5,729582791;
Sandviksås;V50-60;control;Quercus sp.;124;39,47045923;
Sandviksås;V50-60;control;Picea abies;126;40,10707954;
Sandviksås;V50-60;control;Picea abies;61;19,41691946;
Sandviksås;V50-60;control;Picea abies;44;14,00564682;
Sandviksås;V50-60;control;Picea abies;28;8,912684341;
Sandviksås;V50-60;control;Picea abies;32;10,18592496;
Sandviksås;V50-60;control;Picea abies;65;20,69016008;
Sandviksås;V50-60;control;Picea abies;63;20,05353977;
Sandviksås;V50-60;control;Quercus sp.;168;53,47610605;
Sandviksås;V50-60;control;Picea abies;40;12,7324062;
Sandviksås;V50-60;control;Picea abies;53;16,87043822;
Sandviksås;V50-60;control;Picea abies;26;8,276064031;
Sandviksås;V50-60;control;Picea abies;73;23,23664132;
Östadkulle;Ö;thinned;Quercus sp.;80;25,4648124;
Östadkulle;Ö;thinned;Picea abies;21;6,684513256;
Östadkulle;Ö;thinned;Corylus avellana;27;8,594374186;
Östadkulle;Ö;thinned;Corylus avellana;16;5,092962481;
Östadkulle;Ö;thinned;Corylus avellana;18;5,729582791;
Östadkulle;Ö;thinned;Alnus glutinosa;78;24,82819209;
Östadkulle;Ö;thinned;Alnus glutinosa;100;31,8310155;
Östadkulle;Ö;thinned;Alnus glutinosa;94;29,92115457;
Östadkulle;Ö;thinned;Corylus avellana;21;6,684513256;
Östadkulle;Ö;thinned;Corylus avellana;19;6,047892946;
Östadkulle;Ö;thinned;Corylus avellana;20;6,366203101;
Östadkulle;Ö;thinned;Corylus avellana;21;6,684513256;
Östadkulle;Ö;thinned;Corylus avellana;29;9,230994496;
Östadkulle;Ö;thinned;Corylus avellana;17;5,411272636;
Östadkulle;Ö;thinned;Corylus avellana;18;5,729582791;
Östadkulle;Ö;thinned;Corylus avellana;20;6,366203101;
Östadkulle;Ö;thinned;Corylus avellana;21;6,684513256;
Östadkulle;Ö;thinned;Corylus avellana;23;7,321133566;
Östadkulle;Ö;thinned;Corylus avellana;22;7,002823411;
Östadkulle;Ö;thinned;Corylus avellana;16;5,092962481;
Östadkulle;Ö;thinned;Corylus avellana;17;5,411272636;
Östadkulle;Ö;thinned;Corylus avellana;17;5,411272636;
Östadkulle;Ö;thinned;Corylus avellana;18;5,729582791;
Östadkulle;Ö;thinned;Corylus avellana;25;7,957753876;
Östadkulle;Ö;thinned;Corylus avellana;20;6,366203101;
Östadkulle;Ö;thinned;Corylus avellana;17;5,411272636;
Östadkulle;Ö;thinned;Corylus avellana;17;5,411272636;
Östadkulle;Ö;thinned;Corylus avellana;27;8,594374186;a bit unsure about species
Östadkulle;Ö;thinned;Corylus avellana;18;5,729582791;a bit unsure about species
Östadkulle;Ö;thinned;Corylus avellana;17;5,411272636;
Östadkulle;Ö;thinned;Corylus avellana;17;5,411272636;
Östadkulle;Ö;thinned;Corylus avellana;33;10,50423512;
Östadkulle;Ö;thinned;Corylus avellana;27;8,594374186;
Östadkulle;Ö;thinned;Corylus avellana;22;7,002823411;
Östadkulle;Ö;thinned;Corylus avellana;21;6,684513256;
Östadkulle;Ö;thinned;Corylus avellana;23;7,321133566;
Östadkulle;Ö;thinned;Corylus avellana;17;5,411272636;
Östadkulle;Ö;thinned;Corylus avellana;18;5,729582791;
Östadkulle;Ö;thinned;Tilia cordata;19;6,047892946;
Östadkulle;Ö;thinned;Tilia cordata;18;5,729582791;
Östadkulle;Ö;thinned;Corylus avellana;33;10,50423512;
Östadkulle;Ö;thinned;Corylus avellana;23;7,321133566;
Östadkulle;Ö;thinned;Corylus avellana;30;9,549304651;
Östadkulle;Ö;thinned;Corylus avellana;19;6,047892946;
Östadkulle;Ö;thinned;Corylus avellana;27;8,594374186;
Östadkulle;Ö;thinned;Corylus avellana;26;8,276064031;
Östadkulle;Ö;thinned;Corylus avellana;25;7,957753876;
Östadkulle;Ö;thinned;Corylus avellana;33;10,50423512;
Östadkulle;Ö;thinned;Corylus avellana;28;8,912684341;
Östadkulle;Ö;thinned;Corylus avellana;19;6,047892946;
Östadkulle;Ö;thinned;Corylus avellana;23;7,321133566;
Östadkulle;Ö;thinned;Corylus avellana;35;11,14085543;
Östadkulle;Ö;thinned;Corylus avellana;17;5,411272636;
Östadkulle;Ö;thinned;Corylus avellana;24;7,639443721;
Östadkulle;Ö;thinned;Corylus avellana;27;8,594374186;
Östadkulle;Ö;thinned;Corylus avellana;23;7,321133566;
Östadkulle;Ö;thinned;Corylus avellana;29;9,230994496;
Östadkulle;Ö;thinned;Corylus avellana;18;5,729582791;
Östadkulle;Ö;thinned;Tilia cordata;48;15,27888744;(photos 13.18)
Östadkulle;Ö;thinned;Tilia cordata;33;10,50423512;(photos 13.18)
Östadkulle;Ö;thinned;Tilia cordata;21;6,684513256;(photos 13.18)
Östadkulle;Ö;thinned;Tilia cordata;25;7,957753876;(photos 13.18)
Östadkulle;Ö;thinned;Tilia cordata;25;7,957753876;(photos 13.18)
Östadkulle;Ö;thinned;Tilia cordata;28;8,912684341;(photos 13.18)
Östadkulle;Ö;thinned;Tilia cordata;19;6,047892946;(photos 13.18)
Östadkulle;Ö;thinned;Tilia cordata;27;8,594374186;(photos 13.18)
Östadkulle;Ö;thinned;Tilia cordata;99;31,51270535;(photos 13.21/13.22)
Östadkulle;Ö;thinned;Corylus avellana;17;5,411272636;
Östadkulle;Ö;thinned;Corylus avellana;17;5,411272636;
Östadkulle;Ö;thinned;Corylus avellana;18;5,729582791;
Östadkulle;Ö;thinned;Corylus avellana;32;10,18592496;
Östadkulle;Ö;thinned;Tilia cordata;75;23,87326163;
Östadkulle;Ö;thinned;Quercus sp.;201;63,98034116;
Östadkulle;Ö;thinned;Quercus sp.;241;76,71274737;
Östadkulle;Ö;thinned;Corylus avellana;45;14,32395698;
Östadkulle;Ö;thinned;Alnus glutinosa;40;12,7324062;
Östadkulle;Ö;thinned;Alnus glutinosa;29;9,230994496;
Östadkulle;Ö;thinned;Quercus sp.;167;53,15779589;
Östadkulle;Ö;thinned;Alnus glutinosa;106;33,74087644;
Östadkulle;Ö;thinned;Sorbus aucuparia;34;10,82254527;
Östadkulle;Ö;thinned;Sorbus aucuparia;18;5,729582791;
Östadkulle;Ö;thinned;Sorbus aucuparia;47;14,96057729;
Östadkulle;Ö;thinned;Corylus avellana;16;5,092962481;
Östadkulle;Ö;thinned;Corylus avellana;19;6,047892946;
Östadkulle;V;control;Sorbus aucuparia;51;16,23381791;
Östadkulle;V;control;Quercus sp.;168;53,47610605;
Östadkulle;V;control;Quercus sp.;172;54,74934667;
Östadkulle;V;control;Corylus avellana;35;11,14085543;
Östadkulle;V;control;Corylus avellana;18;5,729582791;
Östadkulle;V;control;Corylus avellana;23;7,321133566;
Östadkulle;V;control;Corylus avellana;25;7,957753876;
Östadkulle;V;control;Corylus avellana;21;6,684513256;
Östadkulle;V;control;Corylus avellana;22;7,002823411;
Östadkulle;V;control;Corylus avellana;34;10,82254527;
Östadkulle;V;control;Quercus sp.;76;24,19157178;
Östadkulle;V;control;Corylus avellana;27;8,594374186;
Östadkulle;V;control;Quercus sp.;119;37,87890845;
Östadkulle;V;control;Corylus avellana;26;8,276064031;
Östadkulle;V;control;Corylus avellana;30;9,549304651;
Östadkulle;V;control;Picea abies;23;7,321133566;
Östadkulle;V;control;Picea abies;19;6,047892946;
Östadkulle;V;control;Alnus glutinosa;76;24,19157178;
Östadkulle;V;control;Corylus avellana;18;5,729582791;
Östadkulle;V;control;Corylus avellana;17;5,411272636;
Östadkulle;V;control;Sorbus aucuparia;52;16,55212806;
Östadkulle;V;control;Sorbus aucuparia;38;12,09578589;
Östadkulle;V;control;Picea abies;19;6,047892946;
Östadkulle;V;control;Corylus avellana;22;7,002823411;
Östadkulle;V;control;Corylus avellana;32;10,18592496;
Östadkulle;V;control;Sorbus aucuparia;67;21,32678039;
Östadkulle;V;control;Fraxinus excelsior;64;20,37184992;halvdöd, skott från stamm
Östadkulle;V;control;Corylus avellana;23;7,321133566;
Östadkulle;V;control;Corylus avellana;25;7,957753876;
Östadkulle;V;control;Corylus avellana;38;12,09578589;mycket svamp, halvdöd, skott från stammen
Östadkulle;V;control;Sorbus aucuparia;30;9,549304651;
Östadkulle;V;control;Quercus sp.;254;80,85077938;
Östadkulle;V;control;Corylus avellana;30;9,549304651;
Östadkulle;V;control;Corylus avellana;24;7,639443721;
Östadkulle;V;control;Quercus sp.;204;64,93527163;
Östadkulle;V;control;Picea abies;153;48,70145372;
Östadkulle;V;control;Picea abies;201;63,98034116;
Östadkulle;V;control;Corylus avellana;33;10,50423512;
Östadkulle;V;control;Corylus avellana;16;5,092962481;
Östadkulle;V;control;Corylus avellana;19;6,047892946;
Östadkulle;V;control;Corylus avellana;33;10,50423512;
Östadkulle;V;control;Corylus avellana;22;7,002823411;a bit unsure about species
Östadkulle;V;control;Corylus avellana;17;5,411272636;
Östadkulle;V;control;Betula sp.;84;26,73805302;
Östadkulle;V;control;Picea abies;22;7,002823411;
Östadkulle;V;control;Corylus avellana;22;7,002823411;
Östadkulle;V;control;Picea abies;192;61,11554977;
Östadkulle;V;control;Corylus avellana;21;6,684513256;
Östadkulle;V;control;Alnus glutinosa;91;28,96622411;
Östadkulle;V;control;Corylus avellana;20;6,366203101;
Östadkulle;V;control;Corylus avellana;31;9,867614807;
Östadkulle;V;control;Corylus avellana;16;5,092962481;
Östadkulle;V;control;Corylus avellana;28;8,912684341;
Östadkulle;V;control;Corylus avellana;24;7,639443721;
Östadkulle;V;control;Corylus avellana;17;5,411272636;
Östadkulle;V;control;Picea abies;20;6,366203101;
Östadkulle;V;control;Sorbus aucuparia;26;8,276064031;
Östadkulle;V;control;Quercus sp.;77;24,50988194;
Östadkulle;V;control;Sorbus aucuparia;30;9,549304651;
Östadkulle;V;control;Quercus sp.;59;18,78029915;
Östadkulle;V;control;Corylus avellana;17;5,411272636;
Östadkulle;V;control;Corylus avellana;20;6,366203101;
Östadkulle;V;control;Corylus avellana;16;5,092962481;
Östadkulle;V;control;Corylus avellana;32;10,18592496;mycket svamp, halvdöd, skott från stammen
Östadkulle;V;control;Corylus avellana;17;5,411272636;
Östadkulle;V;control;Corylus avellana;42;13,36902651;
Östadkulle;V;control;Corylus avellana;24;7,639443721;
Östadkulle;V;control;Corylus avellana;16;5,092962481;
Östadkulle;V;control;Corylus avellana;30;9,549304651;
Östadkulle;V;control;Fraxinus excelsior;64;20,37184992;
Östadkulle;V;control;Quercus sp.;180;57,29582791;
Östadkulle;V;control;Betula sp.;62;19,73522961;
Östadkulle;V;control;Quercus sp.;109;34,6958069;
Östadkulle;V;control;Corylus avellana;25;7,957753876;
Östadkulle;V;control;Corylus avellana;20;6,366203101;
Östadkulle;V;control;Corylus avellana;16;5,092962481;
Östadkulle;V;control;Picea abies;56;17,82536868;
Östadkulle;V;control;Quercus sp.;67;21,32678039;barkskada
Östadkulle;V;control;Alnus glutinosa;126;40,10707954;
Östadkulle;V;control;Sorbus aucuparia;26;8,276064031;
Östadkulle;V;control;Corylus avellana;19;6,047892946;
Östadkulle;V;control;Sorbus aucuparia;35;11,14085543;
Östadkulle;V;control;Fraxinus excelsior;27;8,594374186;
Östadkulle;V;control;Corylus avellana;16;5,092962481;
Östadkulle;V;control;Corylus avellana;16;5,092962481;
Östadkulle;V;control;Picea abies;63;20,05353977;
Östadkulle;V;control;Betula sp.;108;34,37749675;
Östadkulle;V;control;Sorbus aucuparia;40;12,7324062;
Östadkulle;V;control;Sorbus aucuparia;18;5,729582791;
Östadkulle;V;control;Picea abies;29;9,230994496;
Östadkulle;V;control;Corylus avellana;21;6,684513256;
Östadkulle;V;control;Quercus sp.;214;68,11837318;
Östadkulle;V;control;Fraxinus excelsior;24;7,639443721;
Östadkulle;V;control;Picea abies;28;8,912684341;
Östadkulle;V;control;Quercus sp.;184;58,56906853;
Östadkulle;V;control;Corylus avellana;29;9,230994496;
Östadkulle;V;control;Corylus avellana;32;10,18592496;
Östadkulle;V;control;Picea abies;21;6,684513256;
Östadkulle;V;control;Picea abies;29;9,230994496;
Östadkulle;V;control;Picea abies;21;6,684513256;
